,date,city,precipitation,month,year
0,2020-01-01,NYC,0.0,1,2020
1,2020-01-02,NYC,0.0,1,2020
2,2020-01-03,NYC,0.13,1,2020
3,2020-01-04,NYC,0.16,1,2020
4,2020-01-05,NYC,0.0,1,2020
5,2020-01-06,NYC,0.03,1,2020
6,2020-01-07,NYC,0.03,1,2020
7,2020-01-08,NYC,0.0,1,2020
8,2020-01-09,NYC,0.0,1,2020
9,2020-01-10,NYC,0.0,1,2020
10,2020-01-11,NYC,0.0,1,2020
11,2020-01-12,NYC,0.03,1,2020
12,2020-01-13,NYC,0.0,1,2020
13,2020-01-14,NYC,0.03,1,2020
14,2020-01-15,NYC,0.0,1,2020
15,2020-01-16,NYC,0.03,1,2020
16,2020-01-17,NYC,0.0,1,2020
17,2020-01-18,NYC,0.58,1,2020
18,2020-01-19,NYC,0.0,1,2020
19,2020-01-20,NYC,0.0,1,2020
20,2020-01-21,NYC,0.0,1,2020
21,2020-01-22,NYC,0.0,1,2020
22,2020-01-23,NYC,0.0,1,2020
23,2020-01-24,NYC,0.0,1,2020
24,2020-01-25,NYC,0.89,1,2020
25,2020-01-26,NYC,0.0,1,2020
26,2020-01-27,NYC,0.0,1,2020
27,2020-01-28,NYC,0.0,1,2020
28,2020-01-29,NYC,0.0,1,2020
29,2020-01-30,NYC,0.0,1,2020
30,2020-01-31,NYC,0.02,1,2020
31,2020-02-01,NYC,0.04,2,2020
32,2020-02-02,NYC,0.01,2,2020
33,2020-02-03,NYC,0.0,2,2020
34,2020-02-04,NYC,0.03,2,2020
35,2020-02-05,NYC,0.0,2,2020
36,2020-02-06,NYC,0.7,2,2020
37,2020-02-07,NYC,0.28,2,2020
38,2020-02-08,NYC,0.0,2,2020
39,2020-02-09,NYC,0.0,2,2020
40,2020-02-10,NYC,0.38,2,2020
41,2020-02-11,NYC,0.33,2,2020
42,2020-02-12,NYC,0.12,2,2020
43,2020-02-13,NYC,0.31,2,2020
44,2020-02-14,NYC,0.0,2,2020
45,2020-02-15,NYC,0.0,2,2020
